patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483550,2,3,2,0,0,1,1.0,,0.6666666666666666,0.3333333333333333
483607,11,12,13,11,13,1,0.8461538461538461,0.8461538461538461,0.9166666666666666,0.07142857142857142
483621,17,20,23,17,23,3,0.7391304347826086,0.7391304347826086,0.85,0.11538461538461539
483622,15,19,19,15,19,4,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.17391304347826086
483697,16,23,22,16,22,7,0.7272727272727273,0.7272727272727273,0.6956521739130435,0.2413793103448276
483786,7,7,9,7,9,0,0.7777777777777778,0.7777777777777778,1.0,0.0
483805,3,5,9,3,9,2,0.3333333333333333,0.3333333333333333,0.6,0.18181818181818182
484661,3,3,3,3,3,0,1.0,1.0,1.0,0.0
484701,16,21,16,16,16,5,1.0,1.0,0.7619047619047619,0.23809523809523808
484716,12,17,12,12,12,5,1.0,1.0,0.7058823529411765,0.29411764705882354
484741,7,12,8,7,8,5,0.875,0.875,0.5833333333333334,0.38461538461538464
484746,10,12,12,10,11,2,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285
484759,7,8,10,6,9,1,0.7,0.6666666666666666,0.875,0.09090909090909091
484805,9,13,10,8,9,4,0.9,0.8888888888888888,0.6923076923076923,0.2857142857142857
484821,6,7,8,6,8,1,0.75,0.75,0.8571428571428571,0.1111111111111111
484826,8,10,12,8,12,2,0.6666666666666666,0.6666666666666666,0.8,0.14285714285714285
484943,12,14,17,12,17,2,0.7058823529411765,0.7058823529411765,0.8571428571428571,0.10526315789473684
485008,7,8,10,7,10,1,0.7,0.7,0.875,0.09090909090909091
485038,2,4,3,2,3,2,0.6666666666666666,0.6666666666666666,0.5,0.4
485040,12,18,18,9,13,6,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.25
485099,8,9,10,8,10,1,0.8,0.8,0.8888888888888888,0.09090909090909091
485134,15,16,20,14,19,1,0.75,0.7368421052631579,0.9375,0.047619047619047616
485182,5,7,5,5,5,2,1.0,1.0,0.7142857142857143,0.2857142857142857
485192,6,8,8,5,7,2,0.75,0.7142857142857143,0.75,0.2
485268,16,21,20,16,20,5,0.8,0.8,0.7619047619047619,0.2
485331,10,14,15,10,15,4,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.21052631578947367
485378,6,6,6,6,6,0,1.0,1.0,1.0,0.0
485432,14,16,15,14,15,2,0.9333333333333333,0.9333333333333333,0.875,0.11764705882352941
486297,3,4,6,2,5,1,0.5,0.4,0.75,0.14285714285714285
486321,13,15,15,12,14,2,0.8666666666666667,0.8571428571428571,0.8666666666666667,0.11764705882352941
486351,7,7,8,7,8,0,0.875,0.875,1.0,0.0
486503,18,23,23,18,23,5,0.782608695652174,0.782608695652174,0.782608695652174,0.17857142857142858
486510,23,26,33,23,33,3,0.696969696969697,0.696969696969697,0.8846153846153846,0.08333333333333333
486582,30,35,48,30,48,5,0.625,0.625,0.8571428571428571,0.09433962264150944
486598,29,33,46,29,46,4,0.6304347826086957,0.6304347826086957,0.8787878787878788,0.08
486718,14,15,18,14,18,1,0.7777777777777778,0.7777777777777778,0.9333333333333333,0.05263157894736842
486826,7,8,9,7,9,1,0.7777777777777778,0.7777777777777778,0.875,0.1
486947,11,12,14,11,13,1,0.7857142857142857,0.8461538461538461,0.9166666666666666,0.06666666666666667
486951,15,20,25,14,23,5,0.6,0.6086956521739131,0.75,0.16666666666666666
486964,10,13,16,9,15,3,0.625,0.6,0.7692307692307693,0.15789473684210525
487009,19,22,24,19,24,3,0.7916666666666666,0.7916666666666666,0.8636363636363636,0.1111111111111111
487109,3,4,4,3,4,1,0.75,0.75,0.75,0.2
487139,9,10,11,9,11,1,0.8181818181818182,0.8181818181818182,0.9,0.08333333333333333
487285,21,22,28,19,26,1,0.75,0.7307692307692307,0.9545454545454546,0.034482758620689655
487331,11,16,17,10,16,5,0.6470588235294118,0.625,0.6875,0.22727272727272727
487379,14,18,14,14,14,4,1.0,1.0,0.7777777777777778,0.2222222222222222
487436,9,11,9,9,9,2,1.0,1.0,0.8181818181818182,0.18181818181818182
487438,4,5,5,4,5,1,0.8,0.8,0.8,0.16666666666666666
487502,12,16,16,12,16,4,0.75,0.75,0.75,0.2
487515,15,20,16,15,16,5,0.9375,0.9375,0.75,0.23809523809523808
488303,2,4,2,2,2,2,1.0,1.0,0.5,0.5
488367,7,7,9,7,8,0,0.7777777777777778,0.875,1.0,0.0
488376,13,14,16,13,15,1,0.8125,0.8666666666666667,0.9285714285714286,0.058823529411764705
488470,8,10,9,8,9,2,0.8888888888888888,0.8888888888888888,0.8,0.18181818181818182
488483,8,9,9,8,9,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1
488497,21,24,29,20,28,3,0.7241379310344828,0.7142857142857143,0.875,0.09375
488511,18,20,31,17,30,2,0.5806451612903226,0.5666666666666667,0.9,0.06060606060606061
488954,17,22,23,17,23,5,0.7391304347826086,0.7391304347826086,0.7727272727272727,0.17857142857142858
489002,15,20,17,14,16,5,0.8823529411764706,0.875,0.75,0.22727272727272727
489038,8,11,10,8,9,3,0.8,0.8888888888888888,0.7272727272727273,0.23076923076923078
489073,20,21,25,20,25,1,0.8,0.8,0.9523809523809523,0.038461538461538464
489109,12,18,18,12,18,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25
489119,21,26,25,19,23,5,0.84,0.8260869565217391,0.8076923076923077,0.16666666666666666
489142,13,19,20,13,20,6,0.65,0.65,0.6842105263157895,0.23076923076923078
489239,17,18,21,17,21,1,0.8095238095238095,0.8095238095238095,0.9444444444444444,0.045454545454545456
489275,13,15,15,12,14,2,0.8666666666666667,0.8571428571428571,0.8666666666666667,0.11764705882352941
489341,17,22,30,17,30,5,0.5666666666666667,0.5666666666666667,0.7727272727272727,0.14285714285714285
489585,17,21,23,17,23,4,0.7391304347826086,0.7391304347826086,0.8095238095238095,0.14814814814814814
489655,6,8,6,6,6,2,1.0,1.0,0.75,0.25
489693,16,17,18,16,18,1,0.8888888888888888,0.8888888888888888,0.9411764705882353,0.05263157894736842
489763,16,20,20,15,19,4,0.8,0.7894736842105263,0.8,0.16666666666666666
489770,17,20,20,16,19,3,0.85,0.8421052631578947,0.85,0.13043478260869565
489778,6,7,9,6,8,1,0.6666666666666666,0.75,0.8571428571428571,0.1
490574,3,3,3,3,3,0,1.0,1.0,1.0,0.0
490590,6,8,10,6,10,2,0.6,0.6,0.75,0.16666666666666666
490599,4,6,8,4,8,2,0.5,0.5,0.6666666666666666,0.2
490615,3,7,3,3,3,4,1.0,1.0,0.42857142857142855,0.5714285714285714
490950,14,18,26,14,26,4,0.5384615384615384,0.5384615384615384,0.7777777777777778,0.13333333333333333
491057,17,20,25,17,25,3,0.68,0.68,0.85,0.10714285714285714
491081,4,4,13,4,11,0,0.3076923076923077,0.36363636363636365,1.0,0.0
491083,9,10,12,9,11,1,0.75,0.8181818181818182,0.9,0.07692307692307693
