patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483550,2,3,2,0,0,1,1.0,,0.6666666666666666,0.3333333333333333
483607,12,14,13,12,13,2,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.13333333333333333
483621,18,22,23,18,23,4,0.782608695652174,0.782608695652174,0.8181818181818182,0.14814814814814814
483622,16,21,19,16,19,5,0.8421052631578947,0.8421052631578947,0.7619047619047619,0.20833333333333334
483697,18,27,22,18,22,9,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.2903225806451613
483786,8,9,9,8,9,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1
483805,6,10,9,6,9,4,0.6666666666666666,0.6666666666666666,0.6,0.3076923076923077
484661,3,5,3,3,3,2,1.0,1.0,0.6,0.4
484701,16,24,16,16,16,8,1.0,1.0,0.6666666666666666,0.3333333333333333
484716,12,17,12,12,12,5,1.0,1.0,0.7058823529411765,0.29411764705882354
484741,6,11,8,6,8,5,0.75,0.75,0.5454545454545454,0.38461538461538464
484746,9,12,12,9,11,3,0.75,0.8181818181818182,0.75,0.2
484759,7,8,10,6,9,1,0.7,0.6666666666666666,0.875,0.09090909090909091
484805,9,14,10,8,9,5,0.9,0.8888888888888888,0.6428571428571429,0.3333333333333333
484821,6,6,8,6,8,0,0.75,0.75,1.0,0.0
484826,9,11,12,9,12,2,0.75,0.75,0.8181818181818182,0.14285714285714285
484943,15,22,17,15,17,7,0.8823529411764706,0.8823529411764706,0.6818181818181818,0.2916666666666667
485008,8,11,10,8,10,3,0.8,0.8,0.7272727272727273,0.23076923076923078
485038,2,6,3,2,3,4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5714285714285714
485040,14,20,18,11,13,6,0.7777777777777778,0.8461538461538461,0.7,0.25
485099,9,11,10,9,10,2,0.9,0.9,0.8181818181818182,0.16666666666666666
485134,18,23,20,17,19,5,0.9,0.8947368421052632,0.782608695652174,0.2
485182,5,8,5,5,5,3,1.0,1.0,0.625,0.375
485192,7,12,8,6,7,5,0.875,0.8571428571428571,0.5833333333333334,0.38461538461538464
485268,18,24,20,18,20,6,0.9,0.9,0.75,0.23076923076923078
485331,13,17,15,13,15,4,0.8666666666666667,0.8666666666666667,0.7647058823529411,0.21052631578947367
485378,6,7,6,6,6,1,1.0,1.0,0.8571428571428571,0.14285714285714285
485432,14,19,15,14,15,5,0.9333333333333333,0.9333333333333333,0.7368421052631579,0.25
486297,3,5,6,2,5,2,0.5,0.4,0.6,0.25
486321,12,13,15,11,14,1,0.8,0.7857142857142857,0.9230769230769231,0.0625
486351,7,7,8,7,8,0,0.875,0.875,1.0,0.0
486503,21,28,23,21,23,7,0.9130434782608695,0.9130434782608695,0.75,0.23333333333333334
486510,24,29,33,24,33,5,0.7272727272727273,0.7272727272727273,0.8275862068965517,0.13157894736842105
