threshold,precision,recall,f1
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.07142857142857142,0.001078167115902965,0.0021242697822623476
0.04,0.02666666666666667,0.001078167115902965,0.002072538860103627
0.05,0.04498269896193772,0.003504043126684636,0.006501625406351588
0.1,0.11163734776725305,0.0444743935309973,0.0636083269082498
0.15,0.17901234567901234,0.12506738544474394,0.14725483973341794
0.2,0.23106060606060605,0.21374663072776282,0.22206664799775974
0.25,0.2617906683480454,0.27978436657681943,0.2704885993485342
0.3,0.30486641221374045,0.3444743935309973,0.3234624145785877
0.35,0.3445270443476032,0.3622641509433962,0.3531730390224675
0.4,0.38454404945904175,0.3353099730458221,0.35824334053275736
0.45,0.4280287040945547,0.2733153638814016,0.33360750123375554
0.5,0.4542349726775956,0.1792452830188679,0.2570545032856591
0.55,0.43795620437956206,0.016172506738544475,0.031193137509747858
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
