patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,0,12,2,0,0,12,0.0,,0.0,0.8571428571428571
483608,0,15,13,0,13,15,0.0,0.0,0.0,0.5357142857142857
483622,0,18,23,0,23,18,0.0,0.0,0.0,0.43902439024390244
483623,2,20,19,2,19,18,0.10526315789473684,0.10526315789473684,0.1,0.4864864864864865
483698,0,23,22,0,22,23,0.0,0.0,0.0,0.5111111111111111
483787,1,8,9,1,9,7,0.1111111111111111,0.1111111111111111,0.125,0.4375
483806,1,10,9,1,9,9,0.1111111111111111,0.1111111111111111,0.1,0.5
484662,0,1,3,0,3,1,0.0,0.0,0.0,0.25
484702,0,19,16,0,16,19,0.0,0.0,0.0,0.5428571428571428
484717,1,9,12,1,12,8,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.4
484742,0,12,8,0,8,12,0.0,0.0,0.0,0.6
484747,1,14,12,1,11,13,0.08333333333333333,0.09090909090909091,0.07142857142857142,0.52
484760,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
484806,0,10,10,0,9,10,0.0,0.0,0.0,0.5
484822,1,7,8,1,8,6,0.125,0.125,0.14285714285714285,0.42857142857142855
484827,1,14,12,1,12,13,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.52
484944,2,16,17,2,17,14,0.11764705882352941,0.11764705882352941,0.125,0.45161290322580644
485009,0,10,10,0,10,10,0.0,0.0,0.0,0.5
485039,0,15,3,0,3,15,0.0,0.0,0.0,0.8333333333333334
485041,1,18,18,1,13,17,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.4857142857142857
485100,1,13,10,1,10,12,0.1,0.1,0.07692307692307693,0.5454545454545454
485135,1,21,20,1,19,20,0.05,0.05263157894736842,0.047619047619047616,0.5
485183,0,5,5,0,5,5,0.0,0.0,0.0,0.5
485193,0,8,8,0,7,8,0.0,0.0,0.0,0.5
485269,0,21,20,0,20,21,0.0,0.0,0.0,0.5121951219512195
485332,1,27,15,1,15,26,0.06666666666666667,0.06666666666666667,0.037037037037037035,0.6341463414634146
485379,1,7,6,1,6,6,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.5
485433,1,14,15,1,15,13,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.4642857142857143
486298,1,14,6,1,5,13,0.16666666666666666,0.2,0.07142857142857142,0.6842105263157895
486322,2,15,15,1,14,13,0.13333333333333333,0.07142857142857142,0.13333333333333333,0.4642857142857143
486352,0,5,8,0,8,5,0.0,0.0,0.0,0.38461538461538464
486504,2,21,23,2,23,19,0.08695652173913043,0.08695652173913043,0.09523809523809523,0.4523809523809524
486511,3,32,33,3,33,29,0.09090909090909091,0.09090909090909091,0.09375,0.46774193548387094
486583,5,33,48,5,48,28,0.10416666666666667,0.10416666666666667,0.15151515151515152,0.3684210526315789
486599,4,26,46,4,46,22,0.08695652173913043,0.08695652173913043,0.15384615384615385,0.3235294117647059
486719,2,15,18,2,18,13,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.41935483870967744
486827,1,12,9,1,9,11,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.55
486948,2,26,14,1,13,24,0.14285714285714285,0.07692307692307693,0.07692307692307693,0.631578947368421
486952,0,16,25,0,23,16,0.0,0.0,0.0,0.3902439024390244
486965,1,9,16,1,15,8,0.0625,0.06666666666666667,0.1111111111111111,0.3333333333333333
487010,0,11,24,0,24,11,0.0,0.0,0.0,0.3142857142857143
487110,0,10,4,0,4,10,0.0,0.0,0.0,0.7142857142857143
487140,0,7,11,0,11,7,0.0,0.0,0.0,0.3888888888888889
487286,4,26,28,4,26,22,0.14285714285714285,0.15384615384615385,0.15384615384615385,0.44
487333,1,4,10,1,10,3,0.1,0.1,0.25,0.23076923076923078
487380,0,16,14,0,14,16,0.0,0.0,0.0,0.5333333333333333
487437,0,9,9,0,9,9,0.0,0.0,0.0,0.5
487439,0,6,5,0,5,6,0.0,0.0,0.0,0.5454545454545454
487503,0,16,16,0,16,16,0.0,0.0,0.0,0.5
487516,0,6,16,0,16,6,0.0,0.0,0.0,0.2727272727272727
488304,0,4,2,0,2,4,0.0,0.0,0.0,0.6666666666666666
488368,0,9,9,0,8,9,0.0,0.0,0.0,0.5
488377,1,13,16,1,15,12,0.0625,0.06666666666666667,0.07692307692307693,0.42857142857142855
488471,0,9,9,0,9,9,0.0,0.0,0.0,0.5
488484,1,11,9,1,9,10,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.5263157894736842
488498,1,12,29,1,28,11,0.034482758620689655,0.03571428571428571,0.08333333333333333,0.275
488512,0,11,31,0,30,11,0.0,0.0,0.0,0.2619047619047619
488955,2,27,23,2,23,25,0.08695652173913043,0.08695652173913043,0.07407407407407407,0.5208333333333334
489003,2,21,17,2,16,19,0.11764705882352941,0.125,0.09523809523809523,0.5277777777777778
489039,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
489074,2,18,25,2,25,16,0.08,0.08,0.1111111111111111,0.3902439024390244
489110,2,20,18,2,18,18,0.1111111111111111,0.1111111111111111,0.1,0.5
489120,1,21,26,1,26,20,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.43478260869565216
489143,4,26,20,4,20,22,0.2,0.2,0.15384615384615385,0.5238095238095238
489240,0,21,19,0,19,21,0.0,0.0,0.0,0.525
489276,0,6,12,0,11,6,0.0,0.0,0.0,0.3333333333333333
489342,2,29,37,2,36,27,0.05405405405405406,0.05555555555555555,0.06896551724137931,0.421875
489586,4,25,26,4,26,21,0.15384615384615385,0.15384615384615385,0.16,0.44680851063829785
489656,0,5,6,0,6,5,0.0,0.0,0.0,0.45454545454545453
