threshold,precision,recall,f1
0.01,0.0,0.0,0.0
0.02,0.3333333333333333,0.00026954177897574127,0.0005386479935362241
0.03,0.024390243902439025,0.00026954177897574127,0.0005331911490269262
0.04,0.03225806451612903,0.001078167115902965,0.0020865936358894104
0.05,0.04583333333333333,0.0029649595687331535,0.005569620253164557
0.1,0.11415220293724966,0.046091644204851755,0.06566820276497697
0.15,0.18562874251497005,0.13369272237196766,0.1554371670322783
0.2,0.23599658800113732,0.22371967654986524,0.229694202296942
0.25,0.26669905270828276,0.29595687331536386,0.2805672671521656
0.3,0.3033788641265277,0.34123989218328843,0.32119751363694027
0.35,0.35398230088495575,0.3557951482479784,0.3548864094636376
0.4,0.39268680445151033,0.3328840970350404,0.3603209336250911
0.45,0.42959527824620575,0.2746630727762803,0.33508714238737264
0.5,0.4788732394366197,0.19245283018867926,0.27456258411843876
0.55,0.5161290322580645,0.01725067385444744,0.03338549817423057
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
