patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,0,13,2,0,0,13,0.0,,0.0,0.8666666666666667
483608,0,19,13,0,13,19,0.0,0.0,0.0,0.59375
483622,0,21,23,0,23,21,0.0,0.0,0.0,0.4772727272727273
483623,3,18,19,3,19,15,0.15789473684210525,0.15789473684210525,0.16666666666666666,0.4411764705882353
483698,1,27,22,1,22,26,0.045454545454545456,0.045454545454545456,0.037037037037037035,0.5416666666666666
483787,0,6,9,0,9,6,0.0,0.0,0.0,0.4
483806,1,11,9,1,9,10,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.5263157894736842
484662,0,1,3,0,3,1,0.0,0.0,0.0,0.25
484702,0,20,16,0,16,20,0.0,0.0,0.0,0.5555555555555556
484717,0,6,12,0,12,6,0.0,0.0,0.0,0.3333333333333333
484742,0,12,8,0,8,12,0.0,0.0,0.0,0.6
484747,1,14,12,1,11,13,0.08333333333333333,0.09090909090909091,0.07142857142857142,0.52
484760,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
484806,0,13,10,0,9,13,0.0,0.0,0.0,0.5652173913043478
484822,2,8,8,2,8,6,0.25,0.25,0.25,0.42857142857142855
484827,2,16,12,2,12,14,0.16666666666666666,0.16666666666666666,0.125,0.5384615384615384
484944,2,21,17,2,17,19,0.11764705882352941,0.11764705882352941,0.09523809523809523,0.5277777777777778
485009,0,10,10,0,10,10,0.0,0.0,0.0,0.5
485039,0,14,3,0,3,14,0.0,0.0,0.0,0.8235294117647058
485041,0,13,18,0,13,13,0.0,0.0,0.0,0.41935483870967744
485100,1,13,10,1,10,12,0.1,0.1,0.07692307692307693,0.5454545454545454
485135,1,19,20,1,19,18,0.05,0.05263157894736842,0.05263157894736842,0.47368421052631576
485183,0,6,5,0,5,6,0.0,0.0,0.0,0.5454545454545454
485193,0,9,8,0,7,9,0.0,0.0,0.0,0.5294117647058824
485269,0,21,20,0,20,21,0.0,0.0,0.0,0.5121951219512195
485332,1,22,15,1,15,21,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.5833333333333334
485379,1,8,6,1,6,7,0.16666666666666666,0.16666666666666666,0.125,0.5384615384615384
485433,1,18,15,1,15,17,0.06666666666666667,0.06666666666666667,0.05555555555555555,0.53125
486298,1,13,6,1,5,12,0.16666666666666666,0.2,0.07692307692307693,0.6666666666666666
486322,2,12,15,1,14,10,0.13333333333333333,0.07142857142857142,0.16666666666666666,0.4
486352,0,9,8,0,8,9,0.0,0.0,0.0,0.5294117647058824
486504,3,23,23,3,23,20,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.46511627906976744
486511,1,29,33,1,33,28,0.030303030303030304,0.030303030303030304,0.034482758620689655,0.45901639344262296
486583,6,36,48,6,48,30,0.125,0.125,0.16666666666666666,0.38461538461538464
486599,5,31,46,5,46,26,0.10869565217391304,0.10869565217391304,0.16129032258064516,0.3611111111111111
486719,1,15,18,1,18,14,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.4375
486827,1,11,9,1,9,10,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.5263157894736842
486948,2,22,14,1,13,20,0.14285714285714285,0.07692307692307693,0.09090909090909091,0.5882352941176471
486952,0,17,25,0,23,17,0.0,0.0,0.0,0.40476190476190477
486965,0,10,16,0,15,10,0.0,0.0,0.0,0.38461538461538464
487010,0,13,24,0,24,13,0.0,0.0,0.0,0.35135135135135137
487110,0,15,4,0,4,15,0.0,0.0,0.0,0.7894736842105263
487140,0,6,11,0,11,6,0.0,0.0,0.0,0.35294117647058826
487286,4,22,28,4,26,18,0.14285714285714285,0.15384615384615385,0.18181818181818182,0.391304347826087
487333,2,11,10,2,10,9,0.2,0.2,0.18181818181818182,0.47368421052631576
487380,1,15,14,1,14,14,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.5
487437,0,7,9,0,9,7,0.0,0.0,0.0,0.4375
487439,0,10,5,0,5,10,0.0,0.0,0.0,0.6666666666666666
487503,0,13,16,0,16,13,0.0,0.0,0.0,0.4482758620689655
487516,0,4,16,0,16,4,0.0,0.0,0.0,0.2
488304,0,4,2,0,2,4,0.0,0.0,0.0,0.6666666666666666
488368,0,8,9,0,8,8,0.0,0.0,0.0,0.47058823529411764
488377,1,10,16,1,15,9,0.0625,0.06666666666666667,0.1,0.36
488471,0,10,9,0,9,10,0.0,0.0,0.0,0.5263157894736842
488484,1,12,9,1,9,11,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.55
488498,1,15,29,1,28,14,0.034482758620689655,0.03571428571428571,0.06666666666666667,0.32558139534883723
488512,0,14,31,0,30,14,0.0,0.0,0.0,0.3111111111111111
488955,4,27,23,4,23,23,0.17391304347826086,0.17391304347826086,0.14814814814814814,0.5
489003,2,26,17,2,16,24,0.11764705882352941,0.125,0.07692307692307693,0.5853658536585366
489039,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
489074,2,17,25,2,25,15,0.08,0.08,0.11764705882352941,0.375
489110,2,21,18,2,18,19,0.1111111111111111,0.1111111111111111,0.09523809523809523,0.5135135135135135
489120,0,18,26,0,26,18,0.0,0.0,0.0,0.4090909090909091
489143,3,23,20,3,20,20,0.15,0.15,0.13043478260869565,0.5
489240,0,20,19,0,19,20,0.0,0.0,0.0,0.5128205128205128
489276,0,6,12,0,11,6,0.0,0.0,0.0,0.3333333333333333
489342,2,31,37,2,36,29,0.05405405405405406,0.05555555555555555,0.06451612903225806,0.4393939393939394
489586,4,24,26,4,26,20,0.15384615384615385,0.15384615384615385,0.16666666666666666,0.43478260869565216
489656,0,5,6,0,6,5,0.0,0.0,0.0,0.45454545454545453
489694,4,14,19,4,19,10,0.21052631578947367,0.21052631578947367,0.2857142857142857,0.3448275862068966
489764,0,8,18,0,17,8,0.0,0.0,0.0,0.3076923076923077
489772,0,12,20,0,19,12,0.0,0.0,0.0,0.375
489779,0,6,5,0,4,6,0.0,0.0,0.0,0.5454545454545454
490575,0,6,3,0,3,6,0.0,0.0,0.0,0.6666666666666666
490591,0,8,9,0,9,8,0.0,0.0,0.0,0.47058823529411764
