patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,0,15,2,0,0,15,0.0,,0.0,0.8823529411764706
483608,0,21,13,0,13,21,0.0,0.0,0.0,0.6176470588235294
483622,0,25,23,0,23,25,0.0,0.0,0.0,0.5208333333333334
483623,3,21,19,3,19,18,0.15789473684210525,0.15789473684210525,0.14285714285714285,0.4864864864864865
483698,1,36,22,1,22,35,0.045454545454545456,0.045454545454545456,0.027777777777777776,0.6140350877192983
483787,1,9,9,1,9,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.47058823529411764
483806,1,13,9,1,9,12,0.1111111111111111,0.1111111111111111,0.07692307692307693,0.5714285714285714
484662,0,2,3,0,3,2,0.0,0.0,0.0,0.4
484702,0,25,16,0,16,25,0.0,0.0,0.0,0.6097560975609756
484717,1,9,12,1,12,8,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.4
484742,0,16,8,0,8,16,0.0,0.0,0.0,0.6666666666666666
484747,1,17,12,1,11,16,0.08333333333333333,0.09090909090909091,0.058823529411764705,0.5714285714285714
484760,0,6,10,0,9,6,0.0,0.0,0.0,0.375
484806,0,17,10,0,9,17,0.0,0.0,0.0,0.6296296296296297
484822,1,8,8,1,8,7,0.125,0.125,0.125,0.4666666666666667
484827,1,24,12,1,12,23,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.6571428571428571
484944,2,26,17,2,17,24,0.11764705882352941,0.11764705882352941,0.07692307692307693,0.5853658536585366
485009,1,13,10,1,10,12,0.1,0.1,0.07692307692307693,0.5454545454545454
485039,0,18,3,0,3,18,0.0,0.0,0.0,0.8571428571428571
485041,1,18,18,1,13,17,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.4857142857142857
485100,1,16,10,1,10,15,0.1,0.1,0.0625,0.6
485135,1,23,20,1,19,22,0.05,0.05263157894736842,0.043478260869565216,0.5238095238095238
485183,0,7,5,0,5,7,0.0,0.0,0.0,0.5833333333333334
485193,0,11,8,0,7,11,0.0,0.0,0.0,0.5789473684210527
485269,0,20,20,0,20,20,0.0,0.0,0.0,0.5
485332,1,27,15,1,15,26,0.06666666666666667,0.06666666666666667,0.037037037037037035,0.6341463414634146
485379,1,9,6,1,6,8,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.5714285714285714
485433,1,19,15,1,15,18,0.06666666666666667,0.06666666666666667,0.05263157894736842,0.5454545454545454
486298,1,8,6,1,5,7,0.16666666666666666,0.2,0.125,0.5384615384615384
486322,2,16,15,1,14,14,0.13333333333333333,0.07142857142857142,0.125,0.4827586206896552
486352,0,9,8,0,8,9,0.0,0.0,0.0,0.5294117647058824
486504,3,33,23,3,23,30,0.13043478260869565,0.13043478260869565,0.09090909090909091,0.5660377358490566
486511,2,25,33,2,33,23,0.06060606060606061,0.06060606060606061,0.08,0.4107142857142857
486583,6,43,48,6,48,37,0.125,0.125,0.13953488372093023,0.43529411764705883
486599,8,37,46,8,46,29,0.17391304347826086,0.17391304347826086,0.21621621621621623,0.38666666666666666
486719,1,17,18,1,18,16,0.05555555555555555,0.05555555555555555,0.058823529411764705,0.47058823529411764
486827,1,21,9,1,9,20,0.1111111111111111,0.1111111111111111,0.047619047619047616,0.6896551724137931
486948,1,23,14,0,13,22,0.07142857142857142,0.0,0.043478260869565216,0.6111111111111112
486952,0,16,25,0,23,16,0.0,0.0,0.0,0.3902439024390244
486965,0,11,16,0,15,11,0.0,0.0,0.0,0.4074074074074074
487010,0,16,24,0,24,16,0.0,0.0,0.0,0.4
487110,0,14,4,0,4,14,0.0,0.0,0.0,0.7777777777777778
487140,0,7,11,0,11,7,0.0,0.0,0.0,0.3888888888888889
487286,3,15,28,3,26,12,0.10714285714285714,0.11538461538461539,0.2,0.3
487333,3,14,10,3,10,11,0.3,0.3,0.21428571428571427,0.5238095238095238
487380,1,18,14,1,14,17,0.07142857142857142,0.07142857142857142,0.05555555555555555,0.5483870967741935
487437,0,9,9,0,9,9,0.0,0.0,0.0,0.5
487439,0,11,5,0,5,11,0.0,0.0,0.0,0.6875
487503,0,18,16,0,16,18,0.0,0.0,0.0,0.5294117647058824
487516,0,7,16,0,16,7,0.0,0.0,0.0,0.30434782608695654
488304,0,6,2,0,2,6,0.0,0.0,0.0,0.75
488368,0,10,9,0,8,10,0.0,0.0,0.0,0.5263157894736842
488377,1,12,16,1,15,11,0.0625,0.06666666666666667,0.08333333333333333,0.4074074074074074
488471,0,12,9,0,9,12,0.0,0.0,0.0,0.5714285714285714
488484,1,16,9,1,9,15,0.1111111111111111,0.1111111111111111,0.0625,0.625
488498,1,17,29,1,28,16,0.034482758620689655,0.03571428571428571,0.058823529411764705,0.35555555555555557
488512,0,15,31,0,30,15,0.0,0.0,0.0,0.32608695652173914
488955,4,29,23,4,23,25,0.17391304347826086,0.17391304347826086,0.13793103448275862,0.5208333333333334
489003,3,29,17,3,16,26,0.17647058823529413,0.1875,0.10344827586206896,0.6046511627906976
489039,0,5,10,0,9,5,0.0,0.0,0.0,0.3333333333333333
489074,4,21,25,4,25,17,0.16,0.16,0.19047619047619047,0.40476190476190477
489110,2,21,18,2,18,19,0.1111111111111111,0.1111111111111111,0.09523809523809523,0.5135135135135135
489120,1,25,26,1,26,24,0.038461538461538464,0.038461538461538464,0.04,0.48
489143,4,31,20,4,20,27,0.2,0.2,0.12903225806451613,0.574468085106383
489240,1,18,19,1,19,17,0.05263157894736842,0.05263157894736842,0.05555555555555555,0.4722222222222222
489276,0,6,12,0,11,6,0.0,0.0,0.0,0.3333333333333333
489342,2,33,37,2,36,31,0.05405405405405406,0.05555555555555555,0.06060606060606061,0.45588235294117646
489586,3,20,26,3,26,17,0.11538461538461539,0.11538461538461539,0.15,0.3953488372093023
489656,1,9,6,1,6,8,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.5714285714285714
489694,4,16,19,4,19,12,0.21052631578947367,0.21052631578947367,0.25,0.3870967741935484
489764,0,14,18,0,17,14,0.0,0.0,0.0,0.4375
489772,1,13,20,0,19,12,0.05,0.0,0.07692307692307693,0.375
489779,0,11,5,0,4,11,0.0,0.0,0.0,0.6875
