patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,0,14,2,0,0,14,0.0,,0.0,0.875
483608,0,17,13,0,13,17,0.0,0.0,0.0,0.5666666666666667
483622,0,24,23,0,23,24,0.0,0.0,0.0,0.5106382978723404
483623,2,18,19,2,19,16,0.10526315789473684,0.10526315789473684,0.1111111111111111,0.45714285714285713
483698,1,28,22,1,22,27,0.045454545454545456,0.045454545454545456,0.03571428571428571,0.5510204081632653
483787,1,8,9,1,9,7,0.1111111111111111,0.1111111111111111,0.125,0.4375
483806,1,13,9,1,9,12,0.1111111111111111,0.1111111111111111,0.07692307692307693,0.5714285714285714
484662,0,1,3,0,3,1,0.0,0.0,0.0,0.25
484702,0,18,16,0,16,18,0.0,0.0,0.0,0.5294117647058824
484717,1,9,12,1,12,8,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.4
484742,0,11,8,0,8,11,0.0,0.0,0.0,0.5789473684210527
484747,1,12,12,1,11,11,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.4782608695652174
484760,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
484806,0,13,10,0,9,13,0.0,0.0,0.0,0.5652173913043478
484822,1,8,8,1,8,7,0.125,0.125,0.125,0.4666666666666667
484827,2,16,12,2,12,14,0.16666666666666666,0.16666666666666666,0.125,0.5384615384615384
484944,2,19,17,2,17,17,0.11764705882352941,0.11764705882352941,0.10526315789473684,0.5
485009,0,10,10,0,10,10,0.0,0.0,0.0,0.5
485039,0,16,3,0,3,16,0.0,0.0,0.0,0.8421052631578947
485041,2,18,18,2,13,16,0.1111111111111111,0.15384615384615385,0.1111111111111111,0.47058823529411764
485100,1,15,10,1,10,14,0.1,0.1,0.06666666666666667,0.5833333333333334
485135,1,21,20,1,19,20,0.05,0.05263157894736842,0.047619047619047616,0.5
485183,0,5,5,0,5,5,0.0,0.0,0.0,0.5
485193,0,8,8,0,7,8,0.0,0.0,0.0,0.5
485269,0,21,20,0,20,21,0.0,0.0,0.0,0.5121951219512195
485332,1,19,15,1,15,18,0.06666666666666667,0.06666666666666667,0.05263157894736842,0.5454545454545454
485379,1,7,6,1,6,6,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.5
485433,1,16,15,1,15,15,0.06666666666666667,0.06666666666666667,0.0625,0.5
486298,1,15,6,1,5,14,0.16666666666666666,0.2,0.06666666666666667,0.7
486322,2,17,15,1,14,15,0.13333333333333333,0.07142857142857142,0.11764705882352941,0.5
486352,0,7,8,0,8,7,0.0,0.0,0.0,0.4666666666666667
486504,2,23,23,2,23,21,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.4772727272727273
486511,4,37,33,4,33,33,0.12121212121212122,0.12121212121212122,0.10810810810810811,0.5
486583,7,41,48,7,48,34,0.14583333333333334,0.14583333333333334,0.17073170731707318,0.4146341463414634
486599,4,31,46,4,46,27,0.08695652173913043,0.08695652173913043,0.12903225806451613,0.3698630136986301
486719,3,18,18,3,18,15,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.45454545454545453
486827,1,16,9,1,9,15,0.1111111111111111,0.1111111111111111,0.0625,0.625
486948,1,31,14,1,13,30,0.07142857142857142,0.07692307692307693,0.03225806451612903,0.6818181818181818
486952,1,20,25,1,23,19,0.04,0.043478260869565216,0.05,0.4318181818181818
486965,1,17,16,1,15,16,0.0625,0.06666666666666667,0.058823529411764705,0.5
487010,0,14,24,0,24,14,0.0,0.0,0.0,0.3684210526315789
487110,0,13,4,0,4,13,0.0,0.0,0.0,0.7647058823529411
