patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,2,3,2,0,0,1,1.0,,0.6666666666666666,0.3333333333333333
483608,11,12,13,11,13,1,0.8461538461538461,0.8461538461538461,0.9166666666666666,0.07142857142857142
483622,17,19,23,17,23,2,0.7391304347826086,0.7391304347826086,0.8947368421052632,0.08
483623,11,12,19,11,19,1,0.5789473684210527,0.5789473684210527,0.9166666666666666,0.05
483698,16,20,22,16,22,4,0.7272727272727273,0.7272727272727273,0.8,0.15384615384615385
483787,7,7,9,7,9,0,0.7777777777777778,0.7777777777777778,1.0,0.0
483806,4,5,9,4,9,1,0.4444444444444444,0.4444444444444444,0.8,0.1
484662,3,3,3,3,3,0,1.0,1.0,1.0,0.0
484702,15,18,16,15,16,3,0.9375,0.9375,0.8333333333333334,0.15789473684210525
484717,11,15,12,11,12,4,0.9166666666666666,0.9166666666666666,0.7333333333333333,0.25
484742,6,8,8,6,8,2,0.75,0.75,0.75,0.2
484747,10,12,12,10,11,2,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285
484760,9,9,10,8,9,0,0.9,0.8888888888888888,1.0,0.0
484806,8,11,10,7,9,3,0.8,0.7777777777777778,0.7272727272727273,0.23076923076923078
484822,6,7,8,6,8,1,0.75,0.75,0.8571428571428571,0.1111111111111111
484827,7,10,12,7,12,3,0.5833333333333334,0.5833333333333334,0.7,0.2
484944,13,15,17,13,17,2,0.7647058823529411,0.7647058823529411,0.8666666666666667,0.10526315789473684
485009,6,7,10,6,10,1,0.6,0.6,0.8571428571428571,0.09090909090909091
485039,2,2,3,2,3,0,0.6666666666666666,0.6666666666666666,1.0,0.0
485041,12,16,18,9,13,4,0.6666666666666666,0.6923076923076923,0.75,0.18181818181818182
485100,7,8,10,7,10,1,0.7,0.7,0.875,0.09090909090909091
485135,17,18,20,16,19,1,0.85,0.8421052631578947,0.9444444444444444,0.047619047619047616
485183,4,6,5,4,5,2,0.8,0.8,0.6666666666666666,0.2857142857142857
485193,6,7,8,5,7,1,0.75,0.7142857142857143,0.8571428571428571,0.1111111111111111
485269,16,19,20,16,20,3,0.8,0.8,0.8421052631578947,0.13043478260869565
485332,10,14,15,10,15,4,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.21052631578947367
485379,6,6,6,6,6,0,1.0,1.0,1.0,0.0
485433,14,15,15,14,15,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0625
486298,3,4,6,2,5,1,0.5,0.4,0.75,0.14285714285714285
486322,11,11,15,10,14,0,0.7333333333333333,0.7142857142857143,1.0,0.0
486352,7,7,8,7,8,0,0.875,0.875,1.0,0.0
486504,17,21,23,17,23,4,0.7391304347826086,0.7391304347826086,0.8095238095238095,0.14814814814814814
486511,21,26,33,21,33,5,0.6363636363636364,0.6363636363636364,0.8076923076923077,0.13157894736842105
486583,28,29,48,28,48,1,0.5833333333333334,0.5833333333333334,0.9655172413793104,0.02040816326530612
486599,24,24,46,24,46,0,0.5217391304347826,0.5217391304347826,1.0,0.0
486719,11,13,18,11,18,2,0.6111111111111112,0.6111111111111112,0.8461538461538461,0.1
486827,7,7,9,7,9,0,0.7777777777777778,0.7777777777777778,1.0,0.0
486948,11,12,14,11,13,1,0.7857142857142857,0.8461538461538461,0.9166666666666666,0.06666666666666667
486952,14,17,25,13,23,3,0.56,0.5652173913043478,0.8235294117647058,0.10714285714285714
486965,9,10,16,8,15,1,0.5625,0.5333333333333333,0.9,0.058823529411764705
487010,18,21,24,18,24,3,0.75,0.75,0.8571428571428571,0.1111111111111111
487110,2,3,4,2,4,1,0.5,0.5,0.6666666666666666,0.2
487140,7,7,11,7,11,0,0.6363636363636364,0.6363636363636364,1.0,0.0
487286,18,18,28,17,26,0,0.6428571428571429,0.6538461538461539,1.0,0.0
487333,6,8,10,6,10,2,0.6,0.6,0.75,0.16666666666666666
487380,13,16,14,13,14,3,0.9285714285714286,0.9285714285714286,0.8125,0.17647058823529413
487437,9,11,9,9,9,2,1.0,1.0,0.8181818181818182,0.18181818181818182
487439,5,5,5,5,5,0,1.0,1.0,1.0,0.0
487503,12,14,16,12,16,2,0.75,0.75,0.8571428571428571,0.1111111111111111
487516,14,18,16,14,16,4,0.875,0.875,0.7777777777777778,0.2
488304,2,4,2,2,2,2,1.0,1.0,0.5,0.5
488368,6,7,9,6,8,1,0.6666666666666666,0.75,0.8571428571428571,0.1
488377,12,13,16,12,15,1,0.75,0.8,0.9230769230769231,0.058823529411764705
488471,6,7,9,6,9,1,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.1
488484,8,9,9,8,9,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1
