patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,2,3,2,0,0,1,1.0,,0.6666666666666666,0.3333333333333333
483608,12,16,13,12,13,4,0.9230769230769231,0.9230769230769231,0.75,0.23529411764705882
483622,19,24,23,19,23,5,0.8260869565217391,0.8260869565217391,0.7916666666666666,0.17857142857142858
483623,18,23,19,18,19,5,0.9473684210526315,0.9473684210526315,0.782608695652174,0.20833333333333334
483698,18,28,22,18,22,10,0.8181818181818182,0.8181818181818182,0.6428571428571429,0.3125
483787,7,7,9,7,9,0,0.7777777777777778,0.7777777777777778,1.0,0.0
483806,4,5,9,4,9,1,0.4444444444444444,0.4444444444444444,0.8,0.1
484662,3,3,3,3,3,0,1.0,1.0,1.0,0.0
484702,15,21,16,15,16,6,0.9375,0.9375,0.7142857142857143,0.2727272727272727
484717,12,16,12,12,12,4,1.0,1.0,0.75,0.25
484742,6,10,8,6,8,4,0.75,0.75,0.6,0.3333333333333333
484747,10,13,12,10,11,3,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.2
484760,8,8,10,7,9,0,0.8,0.7777777777777778,1.0,0.0
484806,9,13,10,8,9,4,0.9,0.8888888888888888,0.6923076923076923,0.2857142857142857
484822,6,8,8,6,8,2,0.75,0.75,0.75,0.2
484827,10,18,12,10,12,8,0.8333333333333334,0.8333333333333334,0.5555555555555556,0.4
484944,15,21,17,15,17,6,0.8823529411764706,0.8823529411764706,0.7142857142857143,0.2608695652173913
485009,9,12,10,9,10,3,0.9,0.9,0.75,0.23076923076923078
485039,3,5,3,3,3,2,1.0,1.0,0.6,0.4
485041,14,22,18,11,13,8,0.7777777777777778,0.8461538461538461,0.6363636363636364,0.3076923076923077
485100,8,12,10,8,10,4,0.8,0.8,0.6666666666666666,0.2857142857142857
485135,16,20,20,15,19,4,0.8,0.7894736842105263,0.8,0.16666666666666666
485183,4,5,5,4,5,1,0.8,0.8,0.8,0.16666666666666666
485193,7,9,8,6,7,2,0.875,0.8571428571428571,0.7777777777777778,0.2
485269,16,20,20,16,20,4,0.8,0.8,0.8,0.16666666666666666
485332,11,16,15,11,15,5,0.7333333333333333,0.7333333333333333,0.6875,0.25
485379,6,6,6,6,6,0,1.0,1.0,1.0,0.0
485433,14,19,15,14,15,5,0.9333333333333333,0.9333333333333333,0.7368421052631579,0.25
486298,3,5,6,2,5,2,0.5,0.4,0.6,0.25
486322,13,13,15,12,14,0,0.8666666666666667,0.8571428571428571,1.0,0.0
486352,7,7,8,7,8,0,0.875,0.875,1.0,0.0
486504,19,27,23,19,23,8,0.8260869565217391,0.8260869565217391,0.7037037037037037,0.25806451612903225
486511,25,36,33,25,33,11,0.7575757575757576,0.7575757575757576,0.6944444444444444,0.25
486583,30,35,48,30,48,5,0.625,0.625,0.8571428571428571,0.09433962264150944
486599,29,34,46,29,46,5,0.6304347826086957,0.6304347826086957,0.8529411764705882,0.09803921568627451
486719,12,15,18,12,18,3,0.6666666666666666,0.6666666666666666,0.8,0.14285714285714285
486827,8,11,9,8,9,3,0.8888888888888888,0.8888888888888888,0.7272727272727273,0.25
486948,11,14,14,11,13,3,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.17647058823529413
486952,15,21,25,14,23,6,0.6,0.6086956521739131,0.7142857142857143,0.1935483870967742
486965,8,11,16,7,15,3,0.5,0.4666666666666667,0.7272727272727273,0.15789473684210525
487010,21,27,24,21,24,6,0.875,0.875,0.7777777777777778,0.2
487110,3,4,4,3,4,1,0.75,0.75,0.75,0.2
487140,8,11,11,8,11,3,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.21428571428571427
487286,20,21,28,18,26,1,0.7142857142857143,0.6923076923076923,0.9523809523809523,0.034482758620689655
487333,7,11,10,7,10,4,0.7,0.7,0.6363636363636364,0.2857142857142857
487380,14,18,14,14,14,4,1.0,1.0,0.7777777777777778,0.2222222222222222
487437,9,12,9,9,9,3,1.0,1.0,0.75,0.25
487439,5,7,5,5,5,2,1.0,1.0,0.7142857142857143,0.2857142857142857
487503,14,17,16,14,16,3,0.875,0.875,0.8235294117647058,0.15789473684210525
487516,14,17,16,14,16,3,0.875,0.875,0.8235294117647058,0.15789473684210525
488304,2,3,2,2,2,1,1.0,1.0,0.6666666666666666,0.3333333333333333
488368,7,8,9,7,8,1,0.7777777777777778,0.875,0.875,0.1
488377,14,17,16,14,15,3,0.875,0.9333333333333333,0.8235294117647058,0.15789473684210525
488471,6,9,9,6,9,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25
488484,9,10,9,9,9,1,1.0,1.0,0.9,0.1
488498,17,21,29,16,28,4,0.5862068965517241,0.5714285714285714,0.8095238095238095,0.12121212121212122
488512,17,20,31,16,30,3,0.5483870967741935,0.5333333333333333,0.85,0.08823529411764706
488955,15,21,23,15,23,6,0.6521739130434783,0.6521739130434783,0.7142857142857143,0.20689655172413793
489003,16,23,17,15,16,7,0.9411764705882353,0.9375,0.6956521739130435,0.2916666666666667
489039,7,8,10,7,9,1,0.7,0.7777777777777778,0.875,0.09090909090909091
489074,18,21,25,18,25,3,0.72,0.72,0.8571428571428571,0.10714285714285714
489110,16,19,18,16,18,3,0.8888888888888888,0.8888888888888888,0.8421052631578947,0.14285714285714285
489120,17,21,26,17,26,4,0.6538461538461539,0.6538461538461539,0.8095238095238095,0.13333333333333333
489143,13,20,20,13,20,7,0.65,0.65,0.65,0.25925925925925924
489240,14,14,19,14,19,0,0.7368421052631579,0.7368421052631579,1.0,0.0
489276,8,10,12,7,11,2,0.6666666666666666,0.6363636363636364,0.8,0.14285714285714285
489342,29,36,37,28,36,7,0.7837837837837838,0.7777777777777778,0.8055555555555556,0.1590909090909091
489586,18,24,26,18,26,6,0.6923076923076923,0.6923076923076923,0.75,0.1875
489656,6,6,6,6,6,0,1.0,1.0,1.0,0.0
489694,16,19,19,16,19,3,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.13636363636363635
489764,13,13,18,12,17,0,0.7222222222222222,0.7058823529411765,1.0,0.0
489772,15,20,20,14,19,5,0.75,0.7368421052631579,0.75,0.2
489779,4,6,5,4,4,2,0.8,1.0,0.6666666666666666,0.2857142857142857
490575,3,4,3,3,3,1,1.0,1.0,0.75,0.25
490591,7,10,9,7,9,3,0.7777777777777778,0.7777777777777778,0.7,0.25
490600,2,4,5,2,5,2,0.4,0.4,0.5,0.2857142857142857
490616,2,4,3,2,3,2,0.6666666666666666,0.6666666666666666,0.5,0.4
490951,13,16,21,13,21,3,0.6190476190476191,0.6190476190476191,0.8125,0.125
491058,22,27,29,22,29,5,0.7586206896551724,0.7586206896551724,0.8148148148148148,0.14705882352941177
491082,11,19,14,10,13,8,0.7857142857142857,0.7692307692307693,0.5789473684210527,0.36363636363636365
491084,10,16,14,10,12,6,0.7142857142857143,0.8333333333333334,0.625,0.3
491093,5,8,6,5,5,3,0.8333333333333334,1.0,0.625,0.3333333333333333
491131,10,13,15,10,15,3,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.16666666666666666
491205,21,27,36,18,33,6,0.5833333333333334,0.5454545454545454,0.7777777777777778,0.14285714285714285
491301,39,42,52,38,51,3,0.75,0.7450980392156863,0.9285714285714286,0.05454545454545454
491320,37,45,55,36,53,8,0.6727272727272727,0.6792452830188679,0.8222222222222222,0.12698412698412698
491335,31,37,49,30,46,6,0.6326530612244898,0.6521739130434783,0.8378378378378378,0.10909090909090909
491340,25,29,42,23,38,4,0.5952380952380952,0.6052631578947368,0.8620689655172413,0.08695652173913043
491410,15,17,18,15,18,2,0.8333333333333334,0.8333333333333334,0.8823529411764706,0.1
491462,6,7,7,6,7,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.125
491475,2,2,2,2,2,0,1.0,1.0,1.0,0.0
491479,4,5,4,4,4,1,1.0,1.0,0.8,0.2
491570,3,4,3,3,3,1,1.0,1.0,0.75,0.25
492565,5,5,6,4,5,0,0.8333333333333334,0.8,1.0,0.0
