patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,0,15,2,0,0,15,0.0,,0.0,0.8823529411764706
483608,0,16,13,0,13,16,0.0,0.0,0.0,0.5517241379310345
483622,0,25,23,0,23,25,0.0,0.0,0.0,0.5208333333333334
483623,2,18,19,2,19,16,0.10526315789473684,0.10526315789473684,0.1111111111111111,0.45714285714285713
483698,1,27,22,1,22,26,0.045454545454545456,0.045454545454545456,0.037037037037037035,0.5416666666666666
483787,1,7,9,1,9,6,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.4
483806,1,13,9,1,9,12,0.1111111111111111,0.1111111111111111,0.07692307692307693,0.5714285714285714
484662,0,1,3,0,3,1,0.0,0.0,0.0,0.25
484702,0,17,16,0,16,17,0.0,0.0,0.0,0.5151515151515151
484717,1,9,12,1,12,8,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.4
484742,0,11,8,0,8,11,0.0,0.0,0.0,0.5789473684210527
484747,1,12,12,1,11,11,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.4782608695652174
484760,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
484806,0,11,10,0,9,11,0.0,0.0,0.0,0.5238095238095238
484822,1,7,8,1,8,6,0.125,0.125,0.14285714285714285,0.42857142857142855
484827,1,14,12,1,12,13,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.52
484944,2,18,17,2,17,16,0.11764705882352941,0.11764705882352941,0.1111111111111111,0.48484848484848486
485009,0,10,10,0,10,10,0.0,0.0,0.0,0.5
485039,0,17,3,0,3,17,0.0,0.0,0.0,0.85
485041,1,18,18,1,13,17,0.05555555555555555,0.07692307692307693,0.05555555555555555,0.4857142857142857
485100,1,14,10,1,10,13,0.1,0.1,0.07142857142857142,0.5652173913043478
485135,1,21,20,1,19,20,0.05,0.05263157894736842,0.047619047619047616,0.5
485183,0,4,5,0,5,4,0.0,0.0,0.0,0.4444444444444444
485193,0,8,8,0,7,8,0.0,0.0,0.0,0.5
485269,0,20,20,0,20,20,0.0,0.0,0.0,0.5
485332,1,20,15,1,15,19,0.06666666666666667,0.06666666666666667,0.05,0.5588235294117647
485379,1,8,6,1,6,7,0.16666666666666666,0.16666666666666666,0.125,0.5384615384615384
485433,1,14,15,1,15,13,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.4642857142857143
486298,1,15,6,1,5,14,0.16666666666666666,0.2,0.06666666666666667,0.7
486322,2,23,15,1,14,21,0.13333333333333333,0.07142857142857142,0.08695652173913043,0.5833333333333334
486352,0,7,8,0,8,7,0.0,0.0,0.0,0.4666666666666667
486504,2,22,23,2,23,20,0.08695652173913043,0.08695652173913043,0.09090909090909091,0.46511627906976744
486511,2,35,33,2,33,33,0.06060606060606061,0.06060606060606061,0.05714285714285714,0.5
486583,7,35,48,7,48,28,0.14583333333333334,0.14583333333333334,0.2,0.3684210526315789
486599,3,27,46,3,46,24,0.06521739130434782,0.06521739130434782,0.1111111111111111,0.34285714285714286
486719,3,14,18,3,18,11,0.16666666666666666,0.16666666666666666,0.21428571428571427,0.3793103448275862
486827,1,15,9,1,9,14,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.6086956521739131
486948,1,30,14,1,13,29,0.07142857142857142,0.07692307692307693,0.03333333333333333,0.6744186046511628
486952,1,24,25,1,23,23,0.04,0.043478260869565216,0.041666666666666664,0.4791666666666667
486965,1,18,16,1,15,17,0.0625,0.06666666666666667,0.05555555555555555,0.5151515151515151
487010,0,13,24,0,24,13,0.0,0.0,0.0,0.35135135135135137
487110,0,14,4,0,4,14,0.0,0.0,0.0,0.7777777777777778
487140,0,8,11,0,11,8,0.0,0.0,0.0,0.42105263157894735
487286,5,24,28,5,26,19,0.17857142857142858,0.19230769230769232,0.20833333333333334,0.40425531914893614
487333,1,4,10,1,10,3,0.1,0.1,0.25,0.23076923076923078
487380,0,13,14,0,14,13,0.0,0.0,0.0,0.48148148148148145
487437,0,10,9,0,9,10,0.0,0.0,0.0,0.5263157894736842
487439,0,7,5,0,5,7,0.0,0.0,0.0,0.5833333333333334
487503,0,15,16,0,16,15,0.0,0.0,0.0,0.4838709677419355
487516,0,7,16,0,16,7,0.0,0.0,0.0,0.30434782608695654
488304,0,4,2,0,2,4,0.0,0.0,0.0,0.6666666666666666
488368,0,15,9,0,8,15,0.0,0.0,0.0,0.625
488377,1,19,16,1,15,18,0.0625,0.06666666666666667,0.05263157894736842,0.5294117647058824
488471,0,9,9,0,9,9,0.0,0.0,0.0,0.5
488484,2,11,9,2,9,9,0.2222222222222222,0.2222222222222222,0.18181818181818182,0.5
488498,1,13,29,1,28,12,0.034482758620689655,0.03571428571428571,0.07692307692307693,0.2926829268292683
488512,0,12,31,0,30,12,0.0,0.0,0.0,0.27906976744186046
