threshold,precision,recall,f1
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.09259259259259259,0.0013477088948787063,0.002656748140276302
0.05,0.041666666666666664,0.0018867924528301887,0.0036101083032490976
0.1,0.08941755537325677,0.029380053908355797,0.04422803814161087
0.15,0.17867555185339443,0.115633423180593,0.1404025527736868
0.2,0.23027656477438138,0.21320754716981133,0.22141357592722188
0.25,0.26285571642536193,0.2838274932614555,0.2729393468118195
0.3,0.2986127439454503,0.3423180592991914,0.3189752605801834
0.35,0.34438447699820096,0.3611859838274933,0.3525851861597158
0.4,0.38315132605304214,0.3309973045822102,0.35516992046276213
0.45,0.4239728928420161,0.269811320754717,0.3297644539614561
0.5,0.4528043775649795,0.1784366576819407,0.2559938128383604
0.55,0.4583333333333333,0.014824797843665768,0.028720626631853787
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
