patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483550,2,3,2,0,0,1,1.0,,0.6666666666666666,0.3333333333333333
483607,11,14,13,11,13,3,0.8461538461538461,0.8461538461538461,0.7857142857142857,0.1875
483621,22,26,23,22,23,4,0.9565217391304348,0.9565217391304348,0.8461538461538461,0.14814814814814814
483622,17,24,19,17,19,7,0.8947368421052632,0.8947368421052632,0.7083333333333334,0.2692307692307692
483697,15,21,22,15,22,6,0.6818181818181818,0.6818181818181818,0.7142857142857143,0.21428571428571427
483786,8,9,9,8,9,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1
483805,4,7,9,4,9,3,0.4444444444444444,0.4444444444444444,0.5714285714285714,0.25
484661,3,3,3,3,3,0,1.0,1.0,1.0,0.0
484701,15,22,16,15,16,7,0.9375,0.9375,0.6818181818181818,0.30434782608695654
484716,11,17,12,11,12,6,0.9166666666666666,0.9166666666666666,0.6470588235294118,0.3333333333333333
484741,7,10,8,7,8,3,0.875,0.875,0.7,0.2727272727272727
484746,10,12,12,10,11,2,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285
484759,8,9,10,7,9,1,0.8,0.7777777777777778,0.8888888888888888,0.09090909090909091
484805,9,13,10,8,9,4,0.9,0.8888888888888888,0.6923076923076923,0.2857142857142857
484821,6,7,8,6,8,1,0.75,0.75,0.8571428571428571,0.1111111111111111
484826,9,14,12,9,12,5,0.75,0.75,0.6428571428571429,0.29411764705882354
484943,15,19,17,15,17,4,0.8823529411764706,0.8823529411764706,0.7894736842105263,0.19047619047619047
485008,8,11,10,8,10,3,0.8,0.8,0.7272727272727273,0.23076923076923078
485038,3,4,3,3,3,1,1.0,1.0,0.75,0.25
485040,14,23,18,11,13,9,0.7777777777777778,0.8461538461538461,0.6086956521739131,0.3333333333333333
485099,10,12,10,10,10,2,1.0,1.0,0.8333333333333334,0.16666666666666666
485134,20,24,20,19,19,4,1.0,1.0,0.8333333333333334,0.16666666666666666
485182,5,7,5,5,5,2,1.0,1.0,0.7142857142857143,0.2857142857142857
485192,6,8,8,5,7,2,0.75,0.7142857142857143,0.75,0.2
485268,16,21,20,16,20,5,0.8,0.8,0.7619047619047619,0.2
485331,10,13,15,10,15,3,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.16666666666666666
485378,6,7,6,6,6,1,1.0,1.0,0.8571428571428571,0.14285714285714285
485432,14,17,15,14,15,3,0.9333333333333333,0.9333333333333333,0.8235294117647058,0.16666666666666666
486297,4,6,6,3,5,2,0.6666666666666666,0.6,0.6666666666666666,0.25
486321,12,13,15,11,14,1,0.8,0.7857142857142857,0.9230769230769231,0.0625
486351,8,8,8,8,8,0,1.0,1.0,1.0,0.0
486503,18,23,23,18,23,5,0.782608695652174,0.782608695652174,0.782608695652174,0.17857142857142858
486510,26,35,33,26,33,9,0.7878787878787878,0.7878787878787878,0.7428571428571429,0.21428571428571427
486582,29,31,48,29,48,2,0.6041666666666666,0.6041666666666666,0.9354838709677419,0.04
486598,27,28,46,27,46,1,0.5869565217391305,0.5869565217391305,0.9642857142857143,0.02127659574468085
486718,13,13,18,13,18,0,0.7222222222222222,0.7222222222222222,1.0,0.0
486826,9,12,9,9,9,3,1.0,1.0,0.75,0.25
486947,11,15,14,11,13,4,0.7857142857142857,0.8461538461538461,0.7333333333333333,0.2222222222222222
486951,16,24,25,15,23,8,0.64,0.6521739130434783,0.6666666666666666,0.24242424242424243
486964,10,16,16,9,15,6,0.625,0.6,0.625,0.2727272727272727
487009,21,26,24,21,24,5,0.875,0.875,0.8076923076923077,0.1724137931034483
487109,2,3,4,2,4,1,0.5,0.5,0.6666666666666666,0.2
487139,9,10,11,9,11,1,0.8181818181818182,0.8181818181818182,0.9,0.08333333333333333
487285,21,21,28,20,26,0,0.75,0.7692307692307693,1.0,0.0
487331,12,19,17,11,16,7,0.7058823529411765,0.6875,0.631578947368421,0.2916666666666667
487379,14,18,14,14,14,4,1.0,1.0,0.7777777777777778,0.2222222222222222
487436,9,13,9,9,9,4,1.0,1.0,0.6923076923076923,0.3076923076923077
487438,5,7,5,5,5,2,1.0,1.0,0.7142857142857143,0.2857142857142857
487502,14,20,16,14,16,6,0.875,0.875,0.7,0.2727272727272727
487515,15,22,16,15,16,7,0.9375,0.9375,0.6818181818181818,0.30434782608695654
488303,2,4,2,2,2,2,1.0,1.0,0.5,0.5
488367,7,10,9,7,8,3,0.7777777777777778,0.875,0.7,0.25
488376,14,17,16,14,15,3,0.875,0.9333333333333333,0.8235294117647058,0.15789473684210525
488470,8,12,9,8,9,4,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.3076923076923077
488483,9,10,9,9,9,1,1.0,1.0,0.9,0.1
488497,18,21,29,18,28,3,0.6206896551724138,0.6428571428571429,0.8571428571428571,0.09375
488511,20,22,31,19,30,2,0.6451612903225806,0.6333333333333333,0.9090909090909091,0.06060606060606061
488954,17,24,23,17,23,7,0.7391304347826086,0.7391304347826086,0.7083333333333334,0.23333333333333334
489002,16,28,17,15,16,12,0.9411764705882353,0.9375,0.5714285714285714,0.41379310344827586
489038,8,10,10,8,9,2,0.8,0.8888888888888888,0.8,0.16666666666666666
489073,20,23,25,20,25,3,0.8,0.8,0.8695652173913043,0.10714285714285714
489109,15,31,18,15,18,16,0.8333333333333334,0.8333333333333334,0.4838709677419355,0.47058823529411764
489119,24,40,25,22,23,16,0.96,0.9565217391304348,0.6,0.3902439024390244
489142,17,25,20,17,20,8,0.85,0.85,0.68,0.2857142857142857
489239,18,19,21,18,21,1,0.8571428571428571,0.8571428571428571,0.9473684210526315,0.045454545454545456
489275,13,17,15,12,14,4,0.8666666666666667,0.8571428571428571,0.7647058823529411,0.21052631578947367
489341,18,25,30,18,30,7,0.6,0.6,0.72,0.1891891891891892
489585,18,20,23,18,23,2,0.782608695652174,0.782608695652174,0.9,0.08
489655,5,6,6,5,6,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14285714285714285
489693,16,17,18,16,18,1,0.8888888888888888,0.8888888888888888,0.9411764705882353,0.05263157894736842
489763,15,23,20,14,19,8,0.75,0.7368421052631579,0.6521739130434783,0.2857142857142857
489770,15,24,20,14,19,9,0.75,0.7368421052631579,0.625,0.3103448275862069
489778,8,9,9,7,8,1,0.8888888888888888,0.875,0.8888888888888888,0.1
490574,3,3,3,3,3,0,1.0,1.0,1.0,0.0
490590,7,10,10,7,10,3,0.7,0.7,0.7,0.23076923076923078
490599,5,7,8,5,8,2,0.625,0.625,0.7142857142857143,0.2
490615,3,8,3,3,3,5,1.0,1.0,0.375,0.625
490950,21,32,26,21,26,11,0.8076923076923077,0.8076923076923077,0.65625,0.2972972972972973
491057,22,33,25,22,25,11,0.88,0.88,0.6666666666666666,0.3055555555555556
491081,10,14,13,10,11,4,0.7692307692307693,0.9090909090909091,0.7142857142857143,0.23529411764705882
491083,10,13,12,10,11,3,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.2
491092,4,7,6,4,5,3,0.6666666666666666,0.8,0.5714285714285714,0.3333333333333333
491130,16,18,22,16,22,2,0.7272727272727273,0.7272727272727273,0.8888888888888888,0.08333333333333333
491204,31,37,48,28,45,6,0.6458333333333334,0.6222222222222222,0.8378378378378378,0.1111111111111111
491300,28,34,53,27,49,6,0.5283018867924528,0.5510204081632653,0.8235294117647058,0.1016949152542373
491319,30,36,53,29,51,6,0.5660377358490566,0.5686274509803921,0.8333333333333334,0.1016949152542373
491334,34,40,58,34,55,6,0.5862068965517241,0.6181818181818182,0.85,0.09375
491339,21,26,31,18,26,5,0.6774193548387096,0.6923076923076923,0.8076923076923077,0.1388888888888889
491409,12,14,14,12,14,2,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.125
491461,8,11,9,8,9,3,0.8888888888888888,0.8888888888888888,0.7272727272727273,0.25
491474,6,6,7,5,6,0,0.8571428571428571,0.8333333333333334,1.0,0.0
491478,3,4,4,3,4,1,0.75,0.75,0.75,0.2
491569,4,7,5,4,5,3,0.8,0.8,0.5714285714285714,0.375
492564,6,11,9,5,8,5,0.6666666666666666,0.625,0.5454545454545454,0.35714285714285715
492623,15,22,15,15,15,7,1.0,1.0,0.6818181818181818,0.3181818181818182
492636,27,30,47,25,43,3,0.574468085106383,0.5813953488372093,0.9,0.06
492761,27,31,44,26,43,4,0.6136363636363636,0.6046511627906976,0.8709677419354839,0.08333333333333333
492764,23,25,35,21,33,2,0.6571428571428571,0.6363636363636364,0.92,0.05405405405405406
492793,38,41,56,35,52,3,0.6785714285714286,0.6730769230769231,0.926829268292683,0.05084745762711865
492795,36,39,54,33,50,3,0.6666666666666666,0.66,0.9230769230769231,0.05263157894736842
492902,42,47,56,41,55,5,0.75,0.7454545454545455,0.8936170212765957,0.08196721311475409
492961,37,43,50,35,48,6,0.74,0.7291666666666666,0.8604651162790697,0.10714285714285714
