patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
483551,2,3,2,0,0,1,1.0,,0.6666666666666666,0.3333333333333333
483608,11,12,13,11,13,1,0.8461538461538461,0.8461538461538461,0.9166666666666666,0.07142857142857142
483622,22,25,23,22,23,3,0.9565217391304348,0.9565217391304348,0.88,0.11538461538461539
483623,17,20,19,17,19,3,0.8947368421052632,0.8947368421052632,0.85,0.13636363636363635
483698,17,21,22,17,22,4,0.7727272727272727,0.7727272727272727,0.8095238095238095,0.15384615384615385
483787,7,8,9,7,9,1,0.7777777777777778,0.7777777777777778,0.875,0.1
483806,3,4,9,3,9,1,0.3333333333333333,0.3333333333333333,0.75,0.1
484662,3,3,3,3,3,0,1.0,1.0,1.0,0.0
484702,15,18,16,15,16,3,0.9375,0.9375,0.8333333333333334,0.15789473684210525
484717,11,15,12,11,12,4,0.9166666666666666,0.9166666666666666,0.7333333333333333,0.25
484742,7,10,8,7,8,3,0.875,0.875,0.7,0.2727272727272727
484747,10,12,12,10,11,2,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.14285714285714285
484760,9,9,10,8,9,0,0.9,0.8888888888888888,1.0,0.0
484806,8,11,10,7,9,3,0.8,0.7777777777777778,0.7272727272727273,0.23076923076923078
484822,6,8,8,6,8,2,0.75,0.75,0.75,0.2
484827,6,8,12,6,12,2,0.5,0.5,0.75,0.14285714285714285
484944,14,16,17,14,17,2,0.8235294117647058,0.8235294117647058,0.875,0.10526315789473684
485009,7,9,10,7,10,2,0.7,0.7,0.7777777777777778,0.16666666666666666
485039,2,2,3,2,3,0,0.6666666666666666,0.6666666666666666,1.0,0.0
485041,13,19,18,10,13,6,0.7222222222222222,0.7692307692307693,0.6842105263157895,0.25
485100,9,11,10,9,10,2,0.9,0.9,0.8181818181818182,0.16666666666666666
485135,17,18,20,16,19,1,0.85,0.8421052631578947,0.9444444444444444,0.047619047619047616
485183,5,7,5,5,5,2,1.0,1.0,0.7142857142857143,0.2857142857142857
485193,6,7,8,5,7,1,0.75,0.7142857142857143,0.8571428571428571,0.1111111111111111
485269,14,19,20,14,20,5,0.7,0.7,0.7368421052631579,0.2
485332,9,11,15,9,15,2,0.6,0.6,0.8181818181818182,0.11764705882352941
485379,6,6,6,6,6,0,1.0,1.0,1.0,0.0
485433,14,15,15,14,15,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0625
486298,3,3,6,3,5,0,0.5,0.6,1.0,0.0
486322,11,13,15,10,14,2,0.7333333333333333,0.7142857142857143,0.8461538461538461,0.11764705882352941
486352,8,8,8,8,8,0,1.0,1.0,1.0,0.0
486504,15,18,23,15,23,3,0.6521739130434783,0.6521739130434783,0.8333333333333334,0.11538461538461539
486511,24,30,33,24,33,6,0.7272727272727273,0.7272727272727273,0.8,0.15384615384615385
486583,26,26,48,26,48,0,0.5416666666666666,0.5416666666666666,1.0,0.0
486599,21,21,46,21,46,0,0.45652173913043476,0.45652173913043476,1.0,0.0
486719,10,10,18,10,18,0,0.5555555555555556,0.5555555555555556,1.0,0.0
486827,8,12,9,8,9,4,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.3076923076923077
486948,11,15,14,11,13,4,0.7857142857142857,0.8461538461538461,0.7333333333333333,0.2222222222222222
486952,14,18,25,13,23,4,0.56,0.5652173913043478,0.7777777777777778,0.13793103448275862
486965,10,12,16,9,15,2,0.625,0.6,0.8333333333333334,0.1111111111111111
487010,20,24,24,20,24,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14285714285714285
487110,2,4,4,2,4,2,0.5,0.5,0.5,0.3333333333333333
487140,8,8,11,8,11,0,0.7272727272727273,0.7272727272727273,1.0,0.0
487286,18,18,28,17,26,0,0.6428571428571429,0.6538461538461539,1.0,0.0
487333,7,8,10,7,10,1,0.7,0.7,0.875,0.09090909090909091
487380,14,15,14,14,14,1,1.0,1.0,0.9333333333333333,0.06666666666666667
487437,8,10,9,8,9,2,0.8888888888888888,0.8888888888888888,0.8,0.18181818181818182
487439,3,3,5,3,5,0,0.6,0.6,1.0,0.0
487503,12,17,16,12,16,5,0.75,0.75,0.7058823529411765,0.23809523809523808
487516,14,16,16,14,16,2,0.875,0.875,0.875,0.1111111111111111
488304,2,2,2,2,2,0,1.0,1.0,1.0,0.0
488368,6,8,9,6,8,2,0.6666666666666666,0.75,0.75,0.18181818181818182
488377,14,18,16,14,15,4,0.875,0.9333333333333333,0.7777777777777778,0.2
488471,8,9,9,8,9,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1
488484,8,9,9,8,9,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1
488498,16,19,29,15,28,3,0.5517241379310345,0.5357142857142857,0.8421052631578947,0.09375
